Time,Wavelength,LogTOTAL,LogSTELLA,LogNEBUL
.22706E+07,2585.00,38.56447,38.56447,-14.47134
.22706E+07,2595.00,38.55865,38.55865,-14.47182
.22706E+07,2605.00,38.55315,38.55315,-14.47229
.22706E+07,2615.00,38.54734,38.54734,-14.47277
.22706E+07,2625.00,38.54231,38.54231,-14.47326
.22706E+07,2635.00,38.53727,38.53727,-14.47373
.22706E+07,2645.00,38.53226,38.53226,-14.47421
.22706E+07,2655.00,38.52705,38.52705,-14.47470
.22706E+07,2665.00,38.52002,38.52002,-14.47518
.22706E+07,2675.00,38.51462,38.51462,-14.47566
.22706E+07,2685.00,38.51029,38.51029,-14.47614
.22706E+07,2695.00,38.50351,38.50351,-14.47662
.22706E+07,2705.00,38.49834,38.49834,-14.47711
.22706E+07,2715.00,38.49283,38.49283,-14.47759
.22706E+07,2725.00,38.48780,38.48780,-14.47808
.22706E+07,2735.00,38.48228,38.48228,-14.47856
.22706E+07,2745.00,38.47690,38.47690,-14.47905
.22706E+07,2755.00,38.47179,38.47179,-14.47953
.22706E+07,2765.00,38.46638,38.46638,-14.48002
.22706E+07,2775.00,38.46221,38.46221,-14.48051
.22706E+07,2785.00,38.45657,38.45657,-14.48100
.22706E+07,2795.00,38.44847,38.44847,-14.48149
.22706E+07,2805.00,38.44508,38.44508,-14.48198
.22706E+07,2815.00,38.44139,38.44139,-14.48247
.22706E+07,2825.00,38.43579,38.43579,-14.48296
.22706E+07,2835.00,38.42914,38.42914,-14.48345
.22706E+07,2845.00,38.42502,38.42502,-14.48394
.22706E+07,2855.00,38.41971,38.41971,-14.48443
.22706E+07,2865.00,38.41503,38.41503,-14.48363
.22706E+07,2875.00,38.40975,38.40975,-14.48283
.22706E+07,2885.00,38.40489,38.40489,-14.48204
.22706E+07,2895.00,38.39981,38.39981,-14.48124
.22706E+07,2910.00,38.39219,38.39219,-14.48005
.22706E+07,2930.00,38.38237,38.38237,-14.47847
.22706E+07,2950.00,38.37135,38.37135,-14.47690
.22706E+07,2970.00,38.36174,38.36174,-14.47533
.22706E+07,2990.00,38.35145,38.35145,-14.47377
.22706E+07,3010.00,38.34118,38.34118,-14.47221
.22706E+07,3030.00,38.33171,38.33171,-14.47066
.22706E+07,3050.00,38.32204,38.32204,-14.46911
.22706E+07,3070.00,38.31276,38.31276,-14.46757
.22706E+07,3090.00,38.30252,38.30252,-14.46604
.22706E+07,3110.00,38.29353,38.29353,-14.46451
.22706E+07,3130.00,38.28323,38.28323,-14.46298
.22706E+07,3150.00,38.27399,38.27399,-14.46147
.22706E+07,3170.00,38.26437,38.26437,-14.45995
